,-80,-78,-76,-74,-72,-70,-68,-66,-64,-62,-60,-58,-56,-54,-52,-50,-48,-46,-44,-42,-40,-38,-36,-34,-32,-30,-28,-26,-24,-22,-20,-18,-16,-14,-12,-10,-8,-6,-4,-2,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80
36,1.8678306148934407,1.8108796973965715,1.7581668408120694,1.707657531569989,1.6622306268594873,1.6199746983424228,1.5790652726449461,1.5423532731516665,1.5080835127271952,1.474570917669091,1.4446310213116125,1.416627124476412,1.3904220939893603,1.364440556291014,1.34147475708281,1.3199813217224194,1.2998714225923769,1.2796474855547249,1.2620681851586713,1.2456532094293702,1.2303470315541685,1.2160968381102546,1.2014557112825153,1.1891776643153957,1.1778267313957074,1.1673687512161863,1.1577731344954694,1.1490124111070446,1.1410593496229395,1.13250802309097,1.126117484059096,1.120484548950334,1.1155970778026782,1.111445235483981,1.1080224344157026,1.1053235760226034,1.103346629278907,1.102091510254856,1.101560550964587,1.1017592140090084,1.102651315810789,1.1020440045103872,1.102193048016298,1.1031121977818208,1.1048178940467295,1.1087147184270498,1.1120518635567807,1.1162426966659669,1.1213165061368526,1.1273060988602992,1.134248596627682,1.1421854763169614,1.1525719831213912,1.1626378267251847,1.1738539945475677,1.1862848872112088,1.200002352895022,1.216528889184319,1.2777134313380412,1.3008567731695624,1.3256705973272087,1.3507657988930928,1.3792557982604108,1.409810453654249,1.4426333571820464,1.4763198664180746,1.5142168335234196,1.5550279455335438,1.5974451125454525,1.644954441368178,1.6963870284296414,1.7505653851587917,1.811192681330746,1.8772928712771233,1.947937913077995,2.0271822086678206,2.1130271219764576,2.209456144045425,2.3165218074597576,2.43487269621932,2.568902673262648
38,1.86677047885314,1.8086283981204296,1.7563363832499386,1.7062407868185205,1.6611613679724508,1.619223265288062,1.5786226371664365,1.5421750204345328,1.5081519912443853,1.4748700261235197,1.445149781493336,1.4173513975272602,1.3913343802059441,1.3655085435477703,1.3427172625040098,1.3213903830617022,1.3014402836501633,1.2813330398007714,1.2638987509391264,1.2476275048733485,1.2324612531511925,1.2169302972646947,1.2038186852768977,1.1916707270319418,1.1804466426680285,1.1701147827317235,1.1606446132509567,1.150628241667475,1.1427996722127856,1.1357634006158202,1.1295021243307841,1.1240006773421458,1.1192476256505681,1.1152336065256805,1.1119515502299233,1.1093974109199651,1.1075699920498137,1.1064698785040283,1.1061002033582075,1.1064667157072408,1.107531262482154,1.1070977452327548,1.1074283956968043,1.108538304839855,1.1104438909419205,1.1131662214319833,1.1167283544525868,1.1225471118541803,1.127868195204488,1.1341201135044334,1.1413413649233752,1.1495754503402587,1.1588705114716893,1.1706907983047024,1.182271047660418,1.1950929697453745,1.2092310964022723,1.2262061849565347,1.2432306974029619,1.3093872482931954,1.334792882486316,1.3605380284794162,1.38972103007613,1.4210596981042363,1.4531792441452018,1.4893235201355386,1.5282425149837957,1.5685881902390884,1.613815017707828,1.6627201946931698,1.714059587494402,1.771542538794098,1.832547195548578,1.9008008805467775,1.9755053320590779,2.0560930064995087,2.1465958162858367,2.2468164342018824,2.3570572964441174,2.481742818147366,2.6210754987093923
40,1.864604891324041,1.8069349841159652,1.7550262331775057,1.7068740853419688,1.6605388093644955,1.618898228162882,1.5785485540089916,1.5423525949729573,1.508563990705053,1.4754793241015045,1.4459582255922032,1.4183478072211968,1.3925123317131312,1.366845538728276,1.3442140709178974,1.32303991384728,1.3017996765772264,1.2832763887405334,1.2659761020742768,1.2498352769344467,1.2334096062613267,1.2194154853072918,1.206425706513023,1.1943984361582305,1.1832963219003196,1.1730860278094293,1.163737386982378,1.1552249660680698,1.1475259395867257,1.1406196577693353,1.1344900026389486,1.1291231384952052,1.1245070013475524,1.1206332740887401,1.1174956158154092,1.1150903177143938,1.1134158405917987,1.112474197215338,1.1122689681723172,1.1128063600361189,1.1140466715195831,1.113788627246343,1.1143027794553646,1.1156045808779231,1.1177124704158672,1.1206471233156705,1.1244335280630133,1.12909933050825,1.1346762228904357,1.141199546698428,1.1487095692397458,1.157251307335802,1.1668750838334738,1.1790534593141095,1.191011116890346,1.2042388174850418,1.2188145476503935,1.2362696775764463,1.2538048884995756,1.2729794807771404,1.3443638623761869,1.3707904718894035,1.4007267386912885,1.4328716284042267,1.4658598420048443,1.5029902844901157,1.541407345509859,1.5844925092817825,1.631032405188446,1.6797803745192184,1.7343396923166787,1.7920555719084632,1.8566466057191713,1.927241594974295,2.0030509662640927,2.088147416788921,2.180797194970516,2.285091994646611,2.4013698166971635,2.530618789633011,2.677620940799003
42,1.8630300884723443,1.8057514387137557,1.7542036872072413,1.7063770664532725,1.6603244692388273,1.6189514463560633,1.5788505611079715,1.54288267850744,1.5093063051538693,1.4764354350762325,1.4470932470963564,1.419650662978601,1.3925290339591319,1.3684958412981003,1.3460088989759715,1.3235584775053133,1.3038807620998858,1.2854918574492114,1.2683214768348339,1.2523073488671417,1.2373928352475188,1.2235269064711407,1.2106637817527155,1.1987621947008062,1.187785088108129,1.1776996188073263,1.1684764134623447,1.1600898655177667,1.152517561773424,1.1457407130725343,1.1397420269798566,1.1345085592598,1.13002972250855,1.1262965409757482,1.1233037708746019,1.12104801155129,1.1195288055753523,1.1187481013366098,1.1187100216111046,1.119421753688422,1.120841370870021,1.1207617757294743,1.1214636727483496,1.1229621734480653,1.125277048968923,1.1284302627657319,1.1324473373406545,1.1373576820703493,1.1431938817878986,1.1499931271378603,1.1577971165566947,1.166652843402035,1.1766126160538708,1.1877345976427658,1.2000836015645973,1.2137324339199496,1.228762243144296,1.2452633951875087,1.2647863923591378,1.2845395850356536,1.3061041041871349,1.3815800353290468,1.4122796168357339,1.443746243449937,1.4791882692066098,1.5173457751039414,1.5568695711072444,1.601211589907019,1.6475309528461277,1.699395076350174,1.7557010077544146,1.8152917173777114,1.882073256582539,1.953562209387149,2.0337562023041493,2.1206251576940307,2.218390871720907,2.3258491684161657,2.4472932982489013,2.5837746973930757,2.7372208976228443
44,1.8619856641685586,1.8067130917022816,1.7538480289871523,1.706315107781555,1.6605451581910637,1.6194114670482251,1.579565846988228,1.543802915573208,1.510416436236728,1.4777384667084033,1.4485688667416012,1.4212886721613902,1.3943110678335795,1.3704258429281426,1.3480808766737946,1.3271814877060528,1.3076425705710184,1.28938781377697,1.2723479614741042,1.2564610364821998,1.241671351362291,1.2279285255516026,1.2151871790874496,1.2034067320455255,1.1925509416607716,1.182587175861341,1.1734866032707836,1.1652240867939228,1.1577776024262572,1.1511279903439942,1.1452601797591042,1.1401600890137684,1.1358179704129698,1.1278719068573113,1.1250160581557564,1.1215245192497083,1.1201522977552838,1.1195251617258843,1.1196479806541406,1.1205279509187345,1.1235153748795184,1.1236198427385449,1.1245155582141673,1.126219380313859,1.1287509952060946,1.1321332942895455,1.136393215667991,1.1415612051340793,1.1476711270253617,1.1561791252625306,1.1642928878221004,1.1734796615706606,1.1867252332576088,1.1982214468335994,1.2109729541700438,1.2250549834494096,1.240552441366089,1.2575593557126465,1.276181326143706,1.296536573480386,1.318757489083128,1.344484368859338,1.424407655450379,1.456759504518113,1.493191667121867,1.5324234746445131,1.5731252699768428,1.6187855071327057,1.6665454754649234,1.7200481547848372,1.776518676794198,1.8397931565801449,1.9072777205356,1.9829638497686672,2.0646490269997155,2.1564630153446473,2.2569279533606332,2.3703473236970454,2.4963080431634888,2.63945785447854,2.8011318673816192
46,1.8614869028396834,1.8049259440223642,1.7539875762642223,1.7067158661358752,1.6612043920139472,1.6202973894919983,1.5806487980743067,1.545081427708856,1.510390793012835,1.4793582307927784,1.4503490465491036,1.4232205415535408,1.3978441170389724,1.3741049817605577,1.351900056986765,1.3311355840567292,1.3117270552793985,1.2935989000948038,1.2766828856743069,1.2609168544425333,1.2462462580403808,1.232621307885759,1.219997281288565,1.2083340774023859,1.19759572341579,1.1819177556424738,1.1729206033909794,1.1647642650833923,1.1574266364840393,1.150889930640248,1.1437441791364762,1.1387631049825875,1.1345435236344152,1.1310791613355224,1.128365779263953,1.1264011977552169,1.1251853097043891,1.124720855147357,1.1250130995669319,1.1260710371961635,1.1278486399257452,1.128139930867513,1.1292315662774453,1.1311421209563217,1.1353150447295046,1.1389282817378918,1.1434329447772587,1.148861012128842,1.1552478780073498,1.1626340139472855,1.1710645796116177,1.1820301670140796,1.1927058943260018,1.2045963141361629,1.2177723379956036,1.2337768784435947,1.2497673334497068,1.267308500291143,1.2879984230685242,1.3105048663096182,1.3334051352216418,1.3583830178013496,1.3856135089610004,1.470425429672839,1.5078811145276647,1.5482833021021154,1.5902051958352255,1.6372748927472556,1.6865410407223922,1.7418026340307022,1.800156929286725,1.8656295699021834,1.9355203504655505,2.0140495194355554,2.098887776924081,2.1929847195675514,2.299148841026496,2.41646760629153,2.5495682551744214,2.6990736615693773,2.8702598980710863
48,1.8615406374252543,1.805262137209366,1.7545921004917326,1.7059925631165083,1.6622637678900352,1.6215635866744915,1.5820930417437729,1.5467056473607816,1.5136683570509906,1.482803414175244,1.4539523174654196,1.426973122783204,1.4017386387745145,1.3781343347754247,1.3560594021640746,1.3354206551176628,1.316134181863796,1.298125036999401,1.2813258707271984,1.26567511017024,1.2451332373965858,1.2316046501611657,1.2176371919686533,1.2060709909701537,1.1954309894834518,1.1856858451662173,1.1768080163859838,1.167324448233903,1.1601079161293206,1.1536952875147708,1.148071377232686,1.1432239973231197,1.139142682120465,1.1358213474967722,1.133256115090528,1.1314453786050733,1.1303891537972681,1.130090361193515,1.1305564019995646,1.1317964512808132,1.1337620541794033,1.1342442114649138,1.135537327042083,1.137660495734368,1.1406350746479215,1.144486694572147,1.1492443066079812,1.156405656638427,1.1630779071319475,1.1707684144738686,1.1795244913802374,1.189398198629609,1.201923430592392,1.2142167116453357,1.2278267963912755,1.2443314029120685,1.2608305463033918,1.2789232730879279,1.3002423944143764,1.3218786420130793,1.345497273034496,1.372804215938328,1.4008941397468184,1.4330949746716708,1.5233365322867225,1.564917907690889,1.6081498816863986,1.6567246215504716,1.7075854634303038,1.7629623007009665,1.8250754929172923,1.8911366231972686,1.965346925295028,2.04520304313982,2.135131301608322,2.2331453813377586,2.342652182651574,2.4667236557375163,2.6053475654465816,2.7636818680417385,2.943790310631469
50,1.8621010654114272,1.8060644696690864,1.7556384548838024,1.7072307203631196,1.6637102905284469,1.6232023143750405,1.5854522811499532,1.5502379712558414,1.5173628125751315,1.4866501637626381,1.457942722417317,1.4310998251494942,1.4059949786874972,1.3825150484112145,1.36055992387875,1.3338787657305993,1.314690098943541,1.2952752392182116,1.2785698650404367,1.2630138600657514,1.2485526993560743,1.2336436576550687,1.221226544658524,1.2097719081492524,1.1992448476920095,1.1881368251741082,1.1793731843170836,1.1714540230408128,1.164359310759696,1.1580717453595586,1.1525764538598795,1.147861845928618,1.1439177348795304,1.139265260560892,1.136844958143344,1.1351842267596957,1.134284677978767,1.134151509901442,1.1347914187312864,1.136214539956639,1.1383711077743977,1.1405432941724656,1.1420429535399412,1.1443843879211464,1.1475897559886037,1.151685715919929,1.1567032672096542,1.1626765476446592,1.1696443260435556,1.1791560554973832,1.1882483373244586,1.198482832972784,1.2099213894364516,1.2241546834166772,1.2382149625374181,1.2537110786256203,1.2722726250606682,1.2909383095576508,1.311363182016345,1.3352379728764674,1.3596017405921952,1.387760475225773,1.4167495242255321,1.4483689799878883,1.4844703315103989,1.582406804624658,1.6270302611268146,1.6771612624400878,1.7297457561992435,1.7870092540042049,1.8513419221963565,1.919822974876127,1.9968750332287082,2.079858035727769,2.1718515346407377,2.275778005430215,2.3902097971654297,2.519058407828042,2.6659206166785334,2.8320275469474376,3.0229451774569367
52,1.8631460432113793,1.8073098775111633,1.757104510652249,1.710500520806921,1.6671770959253602,1.6268482080272355,1.589263424216698,1.5542042058770114,1.5214743753280227,1.490898452779874,1.4623204612149252,1.4356008452431466,1.4042100950008616,1.3792730940365487,1.3574129906446457,1.3369843893844646,1.3163668478068995,1.2985590855963973,1.2819600865419667,1.264987152880842,1.2506286944070137,1.2373167403503056,1.2250072500045777,1.212154008255787,1.2017351006606825,1.1922150540880951,1.1835664001013229,1.1757650491871812,1.1673016343518172,1.1611363322762405,1.1557671644454346,1.1511822201136601,1.1473739794151545,1.1443352719310738,1.1420642321381005,1.1405583629735037,1.1398217564690571,1.1398594298522644,1.140679069666273,1.142291137097223,1.144643681712003,1.145521647940372,1.1472328829034002,1.1497972842622908,1.153239315372094,1.159114159496956,1.1643989952265328,1.1706569008496523,1.1779278337715056,1.186257639283377,1.1972460126374682,1.2078541813712325,1.2196947229095534,1.232839206178112,1.24893358952546,1.2649359289520763,1.2825123942977703,1.3033587752888247,1.3244335680152215,1.349062824314037,1.3742045375132175,1.401639589088205,1.4331927994987212,1.4658509699376037,1.503146241316676,1.542085309729753,1.6468360400090247,1.6986575853098396,1.7530600726746455,1.8123537255431297,1.8790465663810987,1.950098560702001,2.0283183160102016,2.1165565230394243,2.212426413897656,2.319401511588131,2.440815664035868,2.576028721873308,2.729647275565038,2.906148189058781,3.108560424787368
54,1.8646551264174045,1.8107098411781133,1.7607088316589983,1.714292236147318,1.6711386697353292,1.6309651568699224,1.5935267383745895,1.5586041336835161,1.5260026061672263,1.4888624908910433,1.4587707390052345,1.432148014125306,1.4056642087965523,1.3823906687966943,1.3590617518900547,1.33873434669826,1.3197552213034152,1.300498876517136,1.283999388011408,1.2686487128820199,1.254393111509963,1.239647910262449,1.2274419390559057,1.2162015693184507,1.2058924268358022,1.1964841476677814,1.1879491293237667,1.1802649872269848,1.173411916367038,1.167373398901392,1.1621357794819966,1.1576876879033788,1.154020687766243,1.151130311622411,1.1490127530840815,1.1476691649611008,1.1471007381876628,1.1473151044243837,1.1483202815746845,1.1501279840264675,1.152684353519054,1.1537658505035644,1.1556922148471853,1.1584852878760827,1.1621693395497175,1.1667743746699994,1.1723335271292064,1.1788836116859098,1.1864662480997248,1.1951300571961585,1.204928501212963,1.2159209068339454,1.2297726604266321,1.24336483786216,1.2583775709150422,1.2765213006263019,1.2946677045204287,1.3145508402940926,1.3379388951332782,1.361708478891794,1.389317416004851,1.4176450112364924,1.4502365545967906,1.4839843662015388,1.5225395997083948,1.5628248152725284,1.608629048267377,1.7212758710220093,1.777584079749146,1.8410267727838672,1.908284540458506,1.982084067634709,2.063433519181767,2.1554185308715987,2.2554737790252366,2.367365684067163,2.493182028273578,2.63686426864437,2.7988598319369986,2.984919078534676,3.2004760925297258
56,1.8684421091008365,1.8146864357180876,1.7648605197315406,1.7186020284037746,1.675592858098405,1.6355537886248697,1.5912424023037197,1.554743799839021,1.522240623228165,1.4902226624247545,1.4618529032183376,1.4336967510303813,1.4089070720623136,1.3841228358693907,1.3624674168763893,1.3422400939489056,1.3217645078743088,1.3041568485483768,1.2877575279883002,1.272506869846555,1.2583521085658447,1.245245589904024,1.2331445965633905,1.222011017542674,1.2118109997817272,1.2025145141812401,1.1940953845608733,1.1865298231108434,1.1797990533843543,1.1738869488570838,1.1671540432840173,1.1628410409269827,1.1593144273478753,1.15656980334668,1.1546055535539583,1.1534221049482856,1.1530230825252392,1.1534152335138683,1.1546077459006225,1.1566125934062816,1.1593739818544395,1.1606647583539424,1.1628128323397655,1.1658406726744643,1.169774211894659,1.1746446263519192,1.1804860442384106,1.1873364059038771,1.195240920195352,1.2059095712759982,1.21608005517261,1.2274727712968811,1.240157650440266,1.2542134791905752,1.2697278732019435,1.2867983211012766,1.3072102386511115,1.327738600441918,1.3501947264295466,1.3764311472972128,1.403232609902304,1.434210013107527,1.4661569525043685,1.5027838010554322,1.5409112352791656,1.5843734423671925,1.6318223862451193,1.681900556697342,1.80345277608596,1.8671815246638357,1.93910650126596,2.01589443770781,2.1006034963494638,2.1945495890642555,2.3011850024154756,2.4183665232740545,2.550477873800879,2.7004789298345955,2.8720153785329154,3.070459350284096,3.3001580308169016
58,1.87283589636905,1.8192384733155758,1.769556496813406,1.7160800373334675,1.6714185462063968,1.6314801607082514,1.592528453099216,1.557819097109502,1.5237094344375666,1.493452975762943,1.4634976214115314,1.4370787598102654,1.4107201615381801,1.3876440190773711,1.3660850061634033,1.3459533892663738,1.3271684452565005,1.3096573241868075,1.293354538321872,1.2782015545546126,1.2641455776572965,1.2511384998063657,1.2391387923127597,1.226420275792935,1.2163266338859846,1.207139553144531,1.1988324394471581,1.1913833003330823,1.1847734018741387,1.1789871124291769,1.1740117418516618,1.1698371494493995,1.1664552875825787,1.1638614956015603,1.1620551399687928,1.1610377825122467,1.1608133803282161,1.161389028153556,1.1627750224045303,1.1649845779227268,1.1679597729099793,1.1694643805755516,1.1718391858925188,1.1751082890364895,1.1792987668151682,1.1844425403150998,1.1905760216323573,1.1977396025079505,1.2059784038008305,1.2153456082281,1.2258990678616328,1.2377045486308598,1.2508345308682456,1.2653715127835097,1.2814066964157613,1.300791177271104,1.3201454651987636,1.3413442927193735,1.3645331126211815,1.3898757771130088,1.4193264257402611,1.4495611369348023,1.4843738436337641,1.5222688751921027,1.5617295491971606,1.6067528829459357,1.6540900203179152,1.707907786593894,1.7669358042326395,1.8990566180949133,1.97167515127265,2.0515966945026936,2.139961251329631,2.2380785623162196,2.34977784343708,2.4726902633514167,2.6116437915346715,2.76988703786292,2.951525337509542,3.16182362841181,3.4077244922237835
60,1.870097526133841,1.8166046868723331,1.765171824618337,1.7173185453060233,1.6745231863167713,1.632894759139374,1.5957818403225768,1.5594003082551293,1.5253520511731093,1.495190291319404,1.467015048995881,1.4406887908904484,1.416088415923355,1.3931030564249782,1.3716337400302652,1.3515912736847095,1.3328954360250402,1.3154739749641227,1.2974984865540178,1.2824378590303736,1.2684758523493616,1.2555654771074845,1.2436648553291116,1.2327365637436363,1.2227476382317832,1.2136689497319304,1.1985612571059414,1.1912247415504515,1.1847314380935203,1.1790648787539506,1.1742137689541836,1.168476907508784,1.1652276526899255,1.1627731997553212,1.1611134710268702,1.1602504860204776,1.1601877836818744,1.1609340390772045,1.1625000518415474,1.164899820723937,1.1680725639794944,1.1697909659853352,1.172391261198725,1.1776385955955435,1.1820849804785725,1.187501298528227,1.1939246888622932,1.201398459644832,1.2099708389384878,1.2214687661740546,1.2324112771364508,1.2446360731643606,1.258219255305079,1.2786606007635661,1.2952406290903666,1.3134676705541972,1.3334621152804251,1.3553597144727154,1.3793129131499562,1.4073450794992588,1.435954202677367,1.4672073430214634,1.503227591657557,1.5405683352402184,1.5833195778377023,1.6280778001210419,1.679092078399128,1.7349831172148351,1.7963516576323266,1.8619093141619654,2.006080928534203,2.089402965869733,2.1816253673601285,2.286701147187407,2.3991211923292837,2.5305977990254704,2.677019793996508,2.844296223931399,3.0370442171382037,3.261228928596203,3.524750194990443
